ML,CHIP,ESM,HSPC,CHOL,PEG,AQUEOUS,TFR,FRR,SIZE,PDI
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,196.919,0.179
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,168.994,0.087
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,181.41,0.143
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,163.213,0.091
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,175.564,0.162
ESM,Micromixer,15.0,0.0,5.0,0.0,MQ,1.375,3.0,162.168,0.086
ESM,Micromixer,10.0,0.0,10.0,0.0,MQ,1.375,3.5002575415843395,84.04,0.09
ESM,Micromixer,10.0,0.0,10.0,0.0,MQ,2.5,3.5002575415843395,84.46,0.067
ESM,Micromixer,10.0,0.0,10.0,0.0,MQ,1.375,1.0,110.4,0.043
ESM,Micromixer,10.0,0.0,10.0,0.0,MQ,2.5,1.0,105.3,0.063
ESM,Micromixer,12.0,0.0,8.0,0.0,MQ,1.375,3.5002575415843395,98.5,0.054
ESM,Micromixer,12.0,0.0,8.0,0.0,MQ,2.5,3.467368504525317,85.85,0.066
ESM,Micromixer,12.0,0.0,8.0,0.0,MQ,1.375,1.0,129.1,0.029
ESM,Micromixer,12.0,0.0,8.0,0.0,MQ,2.5,1.0,129.3,0.045
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,0.58,1.6,125.56,0.263
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.17,1.6,87.316,0.168
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,0.58,4.4,95.927,0.219
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.17,4.4,67.343,0.242
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,0.25,3.0,129.236,0.334
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.5,3.0,68.868,0.23
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,1.0,149.89,0.421
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,4.4,76.973,0.241
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,80.278,0.231
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,80.541,0.212
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,77.848,0.228
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,77.339,0.229
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,1.375,3.0,78.537,0.223
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,0.58,1.6,141.851,0.334
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,2.17,1.6,100.593,0.152
HSPC,Micromixer,0.0,9.576,3.192,3.192,MQ,0.58,4.4,103.514,0.306
