ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,80.386,0.256
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,76.14,0.247
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,78.939,0.251
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,155.532,0.297
0.0,9.576,3.192,3.192,1.375,3.0,MQ,YES,75.29,0.214
0.0,9.576,3.192,3.192,2.17,1.727,MQ,YES,91.341,0.2
0.0,9.576,3.192,3.192,2.17,1.727,MQ,YES,96.467,0.2
0.0,9.576,3.192,3.192,2.17,1.727,MQ,YES,83.115,0.203
24.779,0.0,10.121,0.0,0.58,1.6,MQ,YES,230.059,0.349
24.779,0.0,10.121,0.0,2.17,1.6,MQ,YES,298.002,0.263
24.779,0.0,10.121,0.0,0.58,4.4,MQ,YES,157.882,0.088
24.779,0.0,10.121,0.0,2.17,4.4,MQ,YES,125.303,0.065
24.779,0.0,10.121,0.0,0.25,3.0,MQ,YES,183.962,0.16
24.779,0.0,10.121,0.0,2.5,3.0,MQ,YES,155.385,0.054
24.779,0.0,10.121,0.0,1.375,1.0,MQ,YES,232.108,0.322
24.779,0.0,10.121,0.0,1.375,5.0,MQ,YES,125.924,0.058
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,169.717,0.119
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,164.343,0.091
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,162.206,0.121
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,160.342,0.095
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,158.912,0.087
24.779,0.0,10.121,0.0,0.58,1.6,MQ,YES,189.764,0.195
24.779,0.0,10.121,0.0,2.17,1.6,MQ,YES,229.416,0.244
24.779,0.0,10.121,0.0,0.58,4.4,MQ,YES,140.386,0.047
24.779,0.0,10.121,0.0,2.17,4.4,MQ,YES,117.314,0.046
24.779,0.0,10.121,0.0,0.25,3.0,MQ,YES,167.216,0.071
24.779,0.0,10.121,0.0,2.5,3.0,MQ,YES,137.968,0.05
24.779,0.0,10.121,0.0,1.375,1.0,MQ,YES,240.863,0.252
24.779,0.0,10.121,0.0,1.375,5.0,MQ,YES,115.891,0.07
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,139.586,0.08
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,141.538,0.064
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,139.883,0.062
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,139.657,0.065
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,146.755,0.081
24.779,0.0,10.121,0.0,0.58,1.6,MQ,YES,220.699,0.271
24.779,0.0,10.121,0.0,2.17,1.6,MQ,YES,303.927,0.274
24.779,0.0,10.121,0.0,0.58,4.4,MQ,YES,159.526,0.071
24.779,0.0,10.121,0.0,2.17,4.4,MQ,YES,125.978,0.027
24.779,0.0,10.121,0.0,0.25,3.0,MQ,YES,191.239,0.132
24.779,0.0,10.121,0.0,2.5,3.0,MQ,YES,158.28,0.059
24.779,0.0,10.121,0.0,1.375,1.0,MQ,YES,236.083,0.26
24.779,0.0,10.121,0.0,1.375,5.0,MQ,YES,130.988,0.044
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,160.969,0.082
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,158.593,0.085
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,161.035,0.061
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,171.769,0.111
24.779,0.0,10.121,0.0,1.375,3.0,MQ,YES,161.298,0.103
24.779,0.0,10.121,0.0,2.5,5.0,MQ,YES,114.922,0.056
24.779,0.0,10.121,0.0,2.5,5.0,MQ,YES,109.23,0.05
24.779,0.0,10.121,0.0,2.5,5.0,MQ,YES,107.303,0.055
3.0,0.0,2.0,0.0,1.75,3.0,MQ,YES,81.0,0.112
3.0,0.0,2.0,0.0,1.0,10.0,MQ,YES,79.0,0.109
4.95,0.0,3.05,0.0,2.0,7.0,PBS,YES,98.0,0.152
4.95,0.0,3.05,0.0,1.4,4.7,PBS,YES,118.0,0.205
4.95,0.0,3.05,0.0,1.0,3.0,PBS,YES,160.0,0.239
