ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,PDI,SIZE
2.680737849495766,0.0,1.0310812245632734,0.9591635424866132,2.5,2.5,PBS,0.242659577162159,451.294972790339
3.0,0.0,2.0,0.0,1.0,10.0,MQ,0.109,79.0
3.0,0.0,2.0,0.0,1.75,3.0,MQ,0.112,81.0
3.41184817208552,0.0,0.5155406122816367,1.918327084973226,2.5,5.0,PBS,0.450422523099483,7932.67265191194
3.6555516129487713,0.0,0.5155406122816367,0.9591635424866132,1.0,2.5,PBS,0.299704979424076,220.676299240302
3.6555516129487713,0.0,0.5155406122816367,0.9591635424866132,1.0,5.0,PBS,0.454017231032364,4006.80506004553
4.95,0.0,3.05,0.0,1.0,3.0,PBS,0.239,160.0
4.95,0.0,3.05,0.0,1.4,4.7,PBS,0.205,118.0
4.95,0.0,3.05,0.0,2.0,7.0,PBS,0.152,98.0
5.0,0.0,0.0,0.0,0.25,50.0,MQ,0.284,109.153
5.0,0.0,0.0,0.0,0.25,50.0,PBS,0.521,301.615
5.0,0.0,0.0,0.0,1.0,3.0,PBS,1.0,2254.269
5.0,0.0,5.0,0.0,0.25,3.0,MQ,0.082,116.839
5.0,0.0,5.0,0.0,1.0,3.0,PBS,0.1,91.433
5.0,0.0,5.0,0.0,1.0,50.0,MQ,0.118,70.824
7.311103225897543,0.0,3.093243673689821,5.754981254919678,1.0,5.0,PBS,0.21054961061435,84.1084744653935
8.042213548487297,0.0,3.093243673689821,2.877490627459839,1.0,2.5,PBS,0.222211453395857,126.089916195886
8.042213548487297,0.0,3.093243673689821,2.877490627459839,2.5,5.0,PBS,0.279000115573349,107.531261018264
10.0,0.0,10.0,0.0,1.375,1.0,MQ,0.043,110.4
10.0,0.0,10.0,0.0,1.375,3.0,MQ,0.066,85.607
10.0,0.0,10.0,0.0,1.375,3.0,MQ,0.08,88.68
10.0,0.0,10.0,0.0,1.375,3.0,MQ,0.089,86.863
10.0,0.0,10.0,0.0,1.375,3.5002575415843395,MQ,0.09,84.04
10.0,0.0,10.0,0.0,2.5,1.0,MQ,0.063,105.3
10.0,0.0,10.0,0.0,2.5,3.5002575415843395,MQ,0.067,84.46
10.235544516256562,0.0,1.5466218368449105,5.754981254919678,1.0,2.5,PBS,0.238162474080819,843.290836894877
10.235544516256562,0.0,1.5466218368449105,5.754981254919678,2.5,2.5,PBS,0.201333997671457,1991.83548152214
10.966654838846312,0.0,1.5466218368449105,2.877490627459839,2.5,5.0,PBS,0.378191877010443,5670.85845159383
12.0,0.0,8.0,0.0,1.375,1.0,MQ,0.029,129.1
12.0,0.0,8.0,0.0,1.375,3.5002575415843395,MQ,0.054,98.5
12.0,0.0,8.0,0.0,2.5,1.0,MQ,0.045,129.3
12.0,0.0,8.0,0.0,2.5,3.467368504525317,MQ,0.066,85.85
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,0.03,124.618
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,0.052,132.463
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,1.8107928849972788,MQ,0.071,125.356
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,0.051,107.632
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,0.059,107.586
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,0.066,106.201
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,0.04,118.758
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,0.051,111.634
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,0.08,118.454
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,0.059,84.319
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,0.061,86.184
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,0.083,89.206
13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,4.0,PBS,0.104,94.0
13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,4.0,PBS,0.179,94.0
13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,4.0,PBS,0.227,104.0
13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,8.0,PBS,0.291,82.0
13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,8.0,PBS,0.32,87.8
13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,8.0,PBS,0.437,116.0
15.0,0.0,5.0,0.0,0.25,3.0,MQ,0.132,180.646
15.0,0.0,5.0,0.0,0.25,3.0,MQ,0.213,189.471
15.0,0.0,5.0,0.0,0.25,3.0,MQ,0.271,190.929
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.042,127.517
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.051,169.422
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.065,162.092
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.07,160.902
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.072,154.375
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.074,165.879
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.086,162.168
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.087,168.994
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.091,163.213
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.099,182.155
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.101,176.58
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.114,167.896
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.119,162.675
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.141,179.011
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.143,181.41
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.16,177.175
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.162,175.564
15.0,0.0,5.0,0.0,1.375,3.0,MQ,0.179,196.919
15.0,0.0,5.0,0.0,1.375,5.0,MQ,0.034,137.567
15.0,0.0,5.0,0.0,1.375,5.0,MQ,0.037,130.699
15.0,0.0,5.0,0.0,1.375,5.0,MQ,0.048,124.934
15.0,0.0,5.0,0.0,2.5,3.0,MQ,0.029,146.835
15.0,0.0,5.0,0.0,2.5,3.0,MQ,0.042,147.238
15.0,0.0,5.0,0.0,2.5,3.0,MQ,0.064,157.52
16.258078863117323,0.0,6.878606146819108,12.79764984945341,2.5,6.0,PBS,0.244,94.0
16.258078863117323,0.0,6.878606146819108,12.79764984945341,2.5,6.0,PBS,0.274,96.0
16.258078863117323,0.0,6.878606146819108,12.79764984945341,2.5,6.0,PBS,0.317,101.0
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,1.8107928849972788,MQ,0.856,834.01
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,0.569,623.865
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,0.595,570.792
17.973017787506805,0.0,2.0269822124931967,0.0,0.7060709978109694,4.189207115002722,MQ,0.643,622.999
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,1.8107928849972788,MQ,0.832,8973.734
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,1.8107928849972788,MQ,1.0,5099.8445
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,0.149,184.984
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,0.204,194.774
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,0.236,198.087
19.509694635740782,0.0,5.15895461011433,12.79764984945341,2.5,4.0,PBS,0.149,91.0
19.509694635740782,0.0,5.15895461011433,12.79764984945341,2.5,4.0,PBS,0.156,95.0
19.509694635740782,0.0,5.15895461011433,12.79764984945341,2.5,4.0,PBS,0.163,95.0
19.509694635740782,0.0,5.15895461011433,12.79764984945341,2.5,8.0,PBS,0.17,77.0
19.509694635740782,0.0,5.15895461011433,12.79764984945341,2.5,8.0,PBS,0.175,81.0
19.509694635740782,0.0,5.15895461011433,12.79764984945341,2.5,8.0,PBS,0.19,85.0
20.0,0.0,0.0,0.0,0.25,3.0,PBS,1.0,6478.919
20.0,0.0,0.0,0.0,1.0,3.0,MQ,0.842,1929.916
20.0,0.0,0.0,0.0,1.0,50.0,MQ,0.681,700.845
20.0,0.0,0.0,0.0,1.375,3.0,MQ,0.973,3062.225
20.0,0.0,0.0,0.0,1.375,3.0,MQ,1.0,6055.3975
20.0,0.0,20.0,0.0,0.25,3.0,MQ,0.106,108.176
20.0,0.0,20.0,0.0,0.25,50.0,PBS,0.236,122.961
20.0,0.0,20.0,0.0,1.0,50.0,PBS,0.145,85.425
24.779,0.0,10.121,0.0,0.25,3.0,MQ,0.071,167.216
24.779,0.0,10.121,0.0,0.25,3.0,MQ,0.132,191.239
24.779,0.0,10.121,0.0,0.25,3.0,MQ,0.16,183.962
24.779,0.0,10.121,0.0,0.58,1.6,MQ,0.195,189.764
24.779,0.0,10.121,0.0,0.58,1.6,MQ,0.271,220.699
24.779,0.0,10.121,0.0,0.58,1.6,MQ,0.349,230.059
24.779,0.0,10.121,0.0,0.58,4.4,MQ,0.047,140.386
24.779,0.0,10.121,0.0,0.58,4.4,MQ,0.071,159.526
