ML,HSPC,ESM,PEG,AQUEOUS,SIZE,PDI,CHOL,FRR,CHIP,TFR
1,0.0,24.779,0.0,0,158.593,0.085,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,161.035,0.061,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,171.769,0.111,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,161.298,0.103,10.121,3.0,0,1.375
1,0.0,24.779,0.0,0,114.922,0.056,10.121,5.0,0,2.5
1,0.0,24.779,0.0,0,109.23,0.05,10.121,5.0,0,2.5
1,0.0,24.779,0.0,0,107.303,0.055,10.121,5.0,0,2.5
1,0.0,3.0,0.0,0,81.0,0.112,2.0,3.0,0,1.75
1,0.0,3.0,0.0,0,79.0,0.109,2.0,10.0,0,1.0
1,0.0,4.95,0.0,1,98.0,0.152,3.05,7.0,0,2.0
1,0.0,4.95,0.0,1,118.0,0.205,3.05,4.7,0,1.4
1,0.0,4.95,0.0,1,160.0,0.239,3.05,3.0,0,1.0
